3790	"Сведения по используемым спутниковым ПРМ на сети АО ""Казтелерадио""  "																				
																					
	Наименование ОДРТ, ДРТ	Наименование района	Наименование РТС	 № ТВК, мгц 	Программа	Стандарт вещания	Тип приемника 	U/A, электронный номер ПРОВЕРИТЬ,  ВНЕСТИ  ИЗМЕНЕНИЯ ИЛИ ДОПОЛНИТЬ  .	S/N, серийный номер.	Назначение 	Принадлежность ПРМ	Основная спутниковая антенна, тип антенны, размер м.	Наличие резервной спутниковой антенны, тип антенны, размер м.	Примечание 	Прием с KasSat 2						
113	Акмолинская ОДРТ:	Обл. центр	Кокшетау	9	Хабар	DigiCipher-II	DSR205K	000-03454-56234-130	025-40171-90000-481	Основной 	"ПРМ АО ""Казтелерадио"""				да						
114	Акмолинская ОДРТ:	Обл. центр	Кокшетау	103.7	Шалкар	DigiCipher-II	DSR-4400	000-03137-39480-082	025-40171-90000-160	Основной 	"ПРМ АО ""Казтелерадио"""				да	Кокшетау	6	Казахстан	DigiCipher-II	DSR205K	000-03454-57999-122
115	Акмолинская ОДРТ:	Обл. центр	Кокшетау	6	Казахстан	DigiCipher-II	DSR205K	000-03454-57999-122	025-40171-83000-993	Основной 	ПРМ ТРК				да						
116	Акмолинская ОДРТ:	Обл. центр	Кокшетау	107.6	Тенгри FM	DigiCipher-II	DSR205K	000-03454-56908-220	201-94762-34010-702	Основной 	"ПРМ АО ""Казтелерадио"""				нет						
117	Акмолинская ОДРТ:	Обл. центр	Кокшетау	107.6	Тенгри FM	DigiCipher-II	DSR205K	000-03454-56901-094	201-94762-34011-051	резерв	"ПРМ АО ""Казтелерадио"""				нет						
118	Акмолинская ОДРТ:	Обл. центр	Кокшетау	57	7 канал 	DVB-S2	Tandberg RX 8330		00235	Основной 	"ПРМ АО ""Казтелерадио"""				нет						
119	Акмолинская ОДРТ:	Обл. центр	Кокшетау	57	7 канал 	DVB-S2	Tandberg RX 8330		00239	резерв	"ПРМ АО ""Казтелерадио"""				нет						
120	Акмолинская ОДРТ:	Обл. центр	Кокшетау	102.5	"""Авторадио Казахстан"""	DVB-S2	Harmonic IRD 2961		501210028	Основной 	"ПРМ АО ""Казтелерадио"""				нет						
121	Акмолинская ОДРТ:	Обл. центр	Кокшетау	102.5	"""Авторадио Казахстан"""	DVB-S2	S2400ND	25848725427	НС7ЕВ000185	резерв	ПРМ ТРК				нет						
122	Акмолинская ОДРТ:	Обл. центр	Кокшетау	106.1	"""Радио Жулдыз"""	DVB-S2	Harmonic Pro View8100		161429193	Основной 	"ПРМ АО ""Казтелерадио"""				нет						
123	Акмолинская ОДРТ:	Обл. центр	Кокшетау			DigiCipher-II	DSR-4400	000-03137-99607-215	025-40781-95007-363	резерв	"ПРМ АО ""Казтелерадио"""				нет						
124	Акмолинская ОДРТ:	Обл. центр	Кокшетау			DigiCipher-II	DSR-4400	000-03137-28724-223	025-40171-83001-068	резерв	"ПРМ АО ""Казтелерадио"""				нет						
	Акмолинская ОДРТ:	Обл. центр	Кокшетау		1MUX	DVB-S2	ProView 7100   			Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.								
	Акмолинская ОДРТ:	Обл. центр	Кокшетау		1MUX	DVB S2	ProView 7100   			резерв											
	Акмолинская ОДРТ:	Обл. центр	Кокшетау		2MUX	DVB-S2	ProView 7100   			Основной 											
	Акмолинская ОДРТ:	Обл. центр	Кокшетау		2MUX	DVB S2	ProView 7100   			резерв											
125	Акмолинская ОДРТ:	Зерендинский	Кызылегис	24	Казахстан	DigiCipher-II	DSR205K	000-03454-52827-085	201-94762-02002-722	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 	нет						
126	Акмолинская ОДРТ:	Зерендинский	Кызылегис	22	Хабар	DigiCipher-II	DSR205K	000-03454-58863-035	201-94762-02003-941	Основной 	"ПРМ АО ""Казтелерадио"""				нет						
127	Акмолинская ОДРТ:	Атбасарский	Есенгельды(Ладыженка)	9	Евразия	DigiCipher-II	DSR205K	000-03454-60076-152	201-94762-35004-243	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная, d -1,8м.			нет						
128	Акмолинская ОДРТ:	Атбасарский	Есенгельды(Ладыженка)	6	Казахстан	DigiCipher-II	DSR401	000-03427-01982-011	061-54413-34009-868	Основной 	ПРМ ТРК			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 	нет						
129	Акмолинская ОДРТ:	Сандыктауский	Лесное	7	Евразия	DigiCipher-II	DSR-4400	000-03137-99230-072	025-40781-63006-688	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."			нет						
130	Акмолинская ОДРТ:	Сандыктауский	Лесное	21	Казахстан	DigiCipher-II	DSR205K	000-03454-53390-217	201-94762-29008-790	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 	нет						
131	Акмолинская ОДРТ:	Сандыктауский	Лесное	4	Хабар	DigiCipher-II	DSR-4400	000-03137-98978-052	025-40781-62000-946	Основной 	"ПРМ АО ""Казтелерадио"""				нет						
132	Акмолинская ОДРТ:	Сандыктауский	Мадениет	28	Казахстан	DigiCipher-II	DSR205K	000-03454-52611-160	201-94762-02001-886	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 	нет						
133	Акмолинская ОДРТ:	Сандыктауский	Мадениет	26	Хабар	DigiCipher-II	DSR205K	000-03454-59532-136	201-94762-02002-463	Основной 	"ПРМ АО ""Казтелерадио"""				нет						
134	Акмолинская ОДРТ:	Буландинский	Макинск	34	Евразия	DigiCipher-II	DSR-4400	000-03137-28713-174	025-40171-83001-006	Основной 	ПРМ ТРК	прямофокусная d - 2,8м.			нет						
135	Акмолинская ОДРТ:	Буландинский	Макинск	38	24Kz	DigiCipher-II	DSR205K	000-03454-59529-210	201-94762-35002-553	Основной 	"ПРМ АО ""Казтелерадио"""				нет						
136	Акмолинская ОДРТ:	Буландинский	Макинск	31	Казахстан	DigiCipher-II	DSR-4400	000-03137-39600-086	025-40171-91000-237	Основной 	"ПРМ АО ""Казтелерадио"""				нет						
137	Акмолинская ОДРТ:	Буландинский	Макинск	23	ОТРК(ОБЛТВ)	DVB-S2	 S2400ND	25859779495	КС7F3001955 (ID25859779495)	Основной 	"ПРМ АО ""Казтелерадио"""				нет	Макинск	46	Хабар	DigiCipher-II	DSR205K	000-03454-57596-173
138	Акмолинская ОДРТ:	Буландинский	Макинск	46	Хабар	DigiCipher-II	DSR205K	000-03454-57596-173	201-94762-35011-630	Основной 	ПРМ ТРК				нет						
139	Акмолинская ОДРТ:	Атбасарский	Мариновка	6	Евразия	DigiCipher-II	DSR205K	000-03454-55214-027	201-94762-29006-345	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м			нет						
140	Акмолинская ОДРТ:	Атбасарский	Мариновка	34	24Kz	DigiCipher-II	DSR205K	000-03454-57586-216	201-94762-34011-839	Основной 	"ПРМ АО ""Казтелерадио"""				нет						
141	Акмолинская ОДРТ:	Атбасарский	Мариновка	4	Казахстан	DigiCipher-II	DSR205K	000-03454-53012-120	025-40171-88000-585	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 	нет						
142	Акмолинская ОДРТ:	Атбасарский	Мариновка	10	Хабар	DigiCipher-II	DSR205K	000-03454-58653-194	025-40171-83000-153	Основной 	"ПРМ АО ""Казтелерадио"""				нет						
143	Акмолинская ОДРТ:	Бурабайский (Щучинский)	Николаевка(Щуч)	49	Евразия	DigiCipher-II	DSR205K	000-03454-57441-215	201-94762-34019-033	Основной 	ПРМ ТРК	прямофокусная d 2,5 м			нет						
144	Акмолинская ОДРТ:	Бурабайский (Щучинский)	Николаевка(Щуч)	36	Казахстан	DigiCipher-II	DSR205K	000-03454-52875-175	201-94762-02005-273	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 	нет						
145	Акмолинская ОДРТ:	Бурабайский (Щучинский)	Николаевка(Щуч)	   54твк 	Хабар	DigiCipher-II	DSR205K	000-03454-52729-129	201-94762-02000-414	Основной 	"ПРМ АО ""Казтелерадио"""				нет						
146	Акмолинская ОДРТ:	Буландинский	Никольское	44	Казахстан	DigiCipher-II	DSR205K	000-03454-56181-150	201-94762-29021-645	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 	нет						
147	Акмолинская ОДРТ:	Буландинский	Никольское	41	Хабар	DigiCipher-II	DSR205K	000-03454-56179-250	201-94762-29024-394	Основной 	"ПРМ АО ""Казтелерадио"""				нет						
148	Акмолинская ОДРТ:	Буландинский	Новобратское	9	Евразия	DigiCipher-II	DSR205K	000-03454-58863-035	201-94762-34010-610	Основной 	ПРМ ТРК	"прямофокусная ""Москва"", d 2,5м."			нет						
149	Акмолинская ОДРТ:	Буландинский	Новобратское	6	Казахстан	DigiCipher-II	DSR 402	000-03086-22185-120	070-74740-54002-819	Основной 	"ПРМ АО ""Казтелерадио"""			1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 	нет						
150	Акмолинская ОДРТ:	Буландинский	Новобратское	12	Хабар	DigiCipher-II	DSR 402	000-03086-21987-025	070-74740-51013-566	Основной 	"ПРМ АО ""Казтелерадио"""				нет						
151	Акмолинская ОДРТ:	Жаксынский	Новокиенка	44	Казахстан	DigiCipher-II	DSR 402	000-03086-21729-142	070-74740-51013-573	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 	нет						
152	Акмолинская ОДРТ:	Жаксынский	Новокиенка	39	Хабар	DigiCipher-II	DSR205K	000-03454-57487-014		Основной 	"ПРМ АО ""Казтелерадио"""				нет						
153	Акмолинская ОДРТ:	Сандыктауский	Новоникольское	43	Казахстан	DigiCipher-II	DSR205K	000-03454-52942-054	201-94762-02003-903	Основной 	ПРМ ТРК	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 	нет						
154	Акмолинская ОДРТ:	Сандыктауский	Новоникольское	50	Хабар	DigiCipher-II	DSR205K	000-03454-53089-141	201-94762-02004-765	Основной 	"ПРМ АО ""Казтелерадио"""				нет						
155	Акмолинская ОДРТ:	Бурабайский (Щучинский)	Окжетпес	7	Евразия	DigiCipher-II	DSR401	000-03427-02273-205	061-54413-34009-974	Основной 	"ПРМ АО ""Казтелерадио"""	"прямофокусная ""Москва"", d 2,5м."			нет						
156	Акмолинская ОДРТ:	Буландинский	Отрадное	6	Казахстан	DigiCipher-II	DSR205K	000-03454-52620-078	201-94762-02001-725	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м		1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). 	нет						
157	Акмолинская ОДРТ:	Буландинский	Отрадное	11	Хабар	DigiCipher-II	DSR205K	000-03454-57766-138	201-94762-02001-565	Основной 	"ПРМ АО ""Казтелерадио"""				нет						
158	Акмолинская ОДРТ:	Буландинский	Партизанский(Партизанка)	3	Евразия	DigiCipher-II	DSR205K	000-03454-57872-187	201-94762-34000-918	Основной 	ПРМ ТРК	офсетная ТНА d 1,6			нет						
